ID,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,INTEND_LAT,INTEND_LONG,OTN_MISSION_ID,DEPLOY_DATE_TIME,DEPLOY_LAT,DEPLOY_LONG,BOTTOM_DEPTH,RISER_LENGTH,INSTRUMENT_DEPTH,CHECK_COMPLETE_TIME,STATUS_IN,INS_MODEL_NUMBER,INS_SERIAL_NUMBER,SYNC_DATE_TIME,MEMORY_ERASED_AT_DEPLOY,RCV_BATTERY_INSTALL_DATE,RCV_EXPECTED_BATTERY_LIFE,RCV_VOLTAGE_AT_DEPLOY,RCV_TILT_AFTER_DEPLOY,AR_MODEL_NUMBER,AR_SERIAL_NUMBER,AR_BATTERY_INSTALL_DATE,AR_EXPECTED_BATTERY_LIFE,AR_VOLTAGE_AT_DEPLOY,AR_TILT_AFTER_DEPLOY,AR_INTERROGATE_CODE,AR_RECEIVE_FREQUENCY,AR_REPLY_FREQUENCY,AR_PING_RATE,AR_ENABLE_CODE_ADDRESS,AR_RELEASE_CODE,AR_DISABLE_CODE,AR_TILT_CODE,DEPLOYED_BY,GLATOS_STATUS,GLATOS_SEASONAL,GLATOS_STUDY
32,MNB,1,,,,,4/25/2011,46.32634,-84.15932,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
33,MNB,2,,,,,4/25/2011,46.32631,-84.15779,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
34,MNB,5,,,,,4/25/2011,46.3259,-84.15764,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
35,OVP,1,,,,,4/27/2011,46.49767,-84.38947,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
36,OVP,2,,,,,4/27/2011,46.50206,-84.39233,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
37,OVP,3,,,,,4/27/2011,46.50366,-84.39418,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
38,PCH,1,,,,,4/26/2011,46.52568,-84.17261,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
39,PCH,2,,,,,4/26/2011,46.52794,-84.12245,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
40,RNS,3,,,,,4/25/2011,46.25246,-84.09887,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
41,RNS,6,,,,,4/25/2011,46.2536,-84.1023,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
