ID,GLATOS_ARRAY,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,MOORING_DROP_DEAD_DATE,INTEND_LAT,INTEND_LONG,OTN_MISSION_ID,DEPLOY_DATE_TIME,GLATOS_DEPLOY_DATE_TIME,GLATOS_TIMEZONE,DEPLOY_LAT,DEPLOY_LONG,BOTTOM_DEPTH,RISER_LENGTH,INSTRUMENT_DEPTH,CHECWLK_COMPLETE_TIME,STATUS_IN,INS_MODEL_NO,GLATOS_INS_FREQUENCY,INS_SERIAL_NO,RCV_MODEM_ADDRESS,SYNC_DATE_TIME,MEMORY_ERASED_AT_DEPLOY,RCV_BATTERY_INSTALL_DATE,RCV_EXPECTED_BATTERY_LIFE,RCV_VOLTAGE_AT_DEPLOY,RCV_TILT_AFTER_DEPLOY,DEPLOYED_BY,COMMENTS,GLATOS_SEASONAL,GLATOS_PROJECT,GLATOS_VPS
61,LRC,,007,1,,,,,2010-04-18T08:15:00,2010-04-18 12:15,EASTERN,46.26428,-84.19038,,,,,,VR2W,69,109426,,,,,,,,,,Y,SMRSL,Y
62,LRP,,001,1,,,,,2010-04-16T11:40:00,2010-04-16 15:40,EASTERN,46.47871,-84.28730,,,,,,VR2W,69,109122,,,,,,,,,,Y,SMRSL,N
63,MNB,,001,1,,,,,2010-04-19T09:52:00,2010-04-19 13:52,EASTERN,46.32636,-84.15942,,,,,,VR2W,69,109430,,,,,,,,,,Y,SMRSL,N
64,MNB,,001,2,,,,,2010-06-23T12:24:00,2010-06-23 16:24,EASTERN,46.32636,-84.15942,,,,,,VR2W,69,109430,,,,,,,,,,Y,SMRSL,N
65,MNB,,002,1,,,,,2010-04-19T09:38:00,2010-04-19 13:38,EASTERN,46.32628,-84.15772,,,,,,VR2W,69,109441,,,,,,,,,,Y,SMRSL,N
66,OVP,,001,1,,,,,2010-04-20T07:51:00,2010-04-20 11:51,EASTERN,46.49753,-84.38940,,,,,,VR2W,69,109449,,,,,,,,,,Y,SMRSL,N
67,OVP,,002,1,,,,,2010-04-20T07:42:00,2010-04-20 11:42,EASTERN,46.50187,-84.39261,,,,,,VR2W,69,109445,,,,,,,,,,Y,SMRSL,N
68,OVP,,002,2,,,,,2010-06-24T08:20:00,2010-06-24 12:20,EASTERN,46.50194,-84.39253,,,,,,VR2W,69,109445,,,,,,,,,,Y,SMRSL,N
69,OVP,,003,1,,,,,2010-04-20T07:34:00,2010-04-20 11:34,EASTERN,46.50370,-84.39434,,,,,,VR2W,69,109448,,,,,,,,,,Y,SMRSL,N
70,PCH,,001,1,,,,,2010-04-17T07:54:00,2010-04-17 11:54,EASTERN,46.53338,-84.13925,,,,,,VR2W,69,109408,,,,,,,,,,Y,SMRSL,N
71,PCH,,001,2,,,,,2010-04-19T07:13:00,2010-04-19 11:13,EASTERN,46.52564,-84.17266,,,,,,VR2W,69,109408,,,,,,,,,,Y,SMRSL,N
72,PCH,,002,1,,,,,2010-04-19T07:20:00,2010-04-19 11:20,EASTERN,46.52808,-84.17243,,,,,,VR2W,69,109468,,,,,,,,,,Y,SMRSL,N
73,PWC,,001,1,,,,,2010-04-16T06:07:00,2010-04-16 10:07,EASTERN,46.50562,-84.35006,,,,,,VR2W,69,109461,,,,,,,,,,Y,SMRSL,N
74,PWC,,001,2,,,,,2010-06-03T07:40:00,2010-06-03 11:40,EASTERN,46.50562,-84.35006,,,,,,VR2W,69,109461,,,,,,,,,,Y,SMRSL,N
75,PWC,,002,1,,,,,2010-04-16T06:11:00,2010-04-16 10:11,EASTERN,46.50539,-84.35170,,,,,,VR2W,69,109418,,,,,,,,,,Y,SMRSL,N
76,PWC,,002,2,,,,,2010-06-03T08:03:00,2010-06-03 12:03,EASTERN,46.50519,-84.35271,,,,,,VR2W,69,109418,,,,,,,,,,Y,SMRSL,N
77,RNS,,001,1,,,,,2010-04-18T12:20:00,2010-04-18 16:20,EASTERN,46.25227,-84.10265,,,,,,VR2W,69,109410,,,,,,,,,,Y,SMRSL,Y
78,RNS,,001,2,,,,,2010-04-27T09:46:00,2010-04-27 13:46,EASTERN,46.25222,-84.10268,,,,,,VR2W,69,109410,,,,,,,,,,Y,SMRSL,Y
79,RNS,,001,3,,,,,2010-06-22T06:59:00,2010-06-22 10:59,EASTERN,46.25228,-84.10272,,,,,,VR2W,69,109410,,,,,,,,,,Y,SMRSL,Y
80,RNS,,002,1,,,,,2010-04-18T12:28:00,2010-04-18 16:28,EASTERN,46.25202,-84.10061,,,,,,VR2W,69,109421,,,,,,,,,,Y,SMRSL,Y
81,RNS,,002,2,,,,,2010-04-27T10:12:00,2010-04-27 14:12,EASTERN,46.25190,-84.10087,,,,,,VR2W,69,109421,,,,,,,,,,Y,SMRSL,Y
82,RNS,,003,1,,,,,2010-04-18T12:48:00,2010-04-18 16:48,EASTERN,46.25254,-84.09921,,,,,,VR2W,69,109459,,,,,,,,,,Y,SMRSL,Y
83,RNS,,003,2,,,,,2010-06-22T08:02:00,2010-06-22 12:02,EASTERN,46.25233,-84.09902,,,,,,VR2W,69,109459,,,,,,,,,,Y,SMRSL,Y
84,RNS,,004,1,,,,,2010-05-20T05:29:00,2010-05-20 09:29,EASTERN,46.25264,-84.10037,,,,,,VR2W,69,106784,,,,,,,,,,Y,SMRSL,Y
85,RNS,,005,1,,,,,2010-04-18T12:40:00,2010-04-18 16:40,EASTERN,46.25321,-84.10005,,,,,,VR2W,69,109411,,,,,,,,,,Y,SMRSL,Y
86,RNS,,006,1,,,,,2010-04-18T12:07:00,2010-04-18 16:07,EASTERN,46.25355,-84.10228,,,,,,VR2W,69,109464,,,,,,,,,,Y,SMRSL,Y
87,RNS,,006,2,,,,,2010-04-27T09:18:00,2010-04-27 13:18,EASTERN,46.25355,-84.10230,,,,,,VR2W,69,109464,,,,,,,,,,Y,SMRSL,Y
88,RNS,,006,3,,,,,2010-06-22T06:30:00,2010-06-22 10:30,EASTERN,46.25356,-84.10228,,,,,,VR2W,69,109464,,,,,,,,,,Y,SMRSL,Y
89,RTR,,001,1,,,,,2010-04-19T06:20:00,2010-04-19 10:20,EASTERN,46.54205,-84.20278,,,,,,VR2W,69,109422,,,,,,,,,,Y,SMRSL,N
90,RTR,,002,1,,,,,2010-04-19T06:12:00,2010-04-19 10:12,EASTERN,46.54148,-84.20491,,,,,,VR2W,69,109427,,,,,,,,,,Y,SMRSL,N
91,RVR,,001,1,,,,,2010-04-16T11:00:00,2010-04-16 15:00,EASTERN,46.46455,-84.29028,,,,,,VR2W,69,109420,,,,,,,,,,Y,SMRSL,N
92,RVR,,002,1,,,,,2010-04-16T09:52:00,2010-04-16 13:52,EASTERN,46.47607,-84.30247,,,,,,VR2W,69,109406,,,,,,,,,,Y,SMRSL,N
93,SSM,,001,1,,,,,2010-04-20T11:05:00,2010-04-20 15:05,EASTERN,46.51038,-84.34121,,,,,,VR2W,69,109444,,,,,,,,,,Y,SMRSL,Y
94,SSM,,002,1,,,,,2010-04-20T11:17:00,2010-04-20 15:17,EASTERN,46.50869,-84.34174,,,,,,VR2W,69,109443,,,,,,,,,,Y,SMRSL,Y
95,SSM,,003,1,,,,,2010-04-20T11:28:00,2010-04-20 15:28,EASTERN,46.50695,-84.34311,,,,,,VR2W,69,109435,,,,,,,,,,Y,SMRSL,Y
96,SSM,,004,1,,,,,2010-04-16T07:56:00,2010-04-16 11:56,EASTERN,46.50050,-84.33757,,,,,,VR2W,69,109416,,,,,,,,,,Y,SMRSL,N
97,SSM,,004,2,,,,,2010-06-02T10:05:00,2010-06-02 14:05,EASTERN,46.50050,-84.33757,,,,,,VR2W,69,109416,,,,,,,,,,Y,SMRSL,N
98,SSM,,005,1,,,,,2010-04-16T07:45:00,2010-04-16 11:45,EASTERN,46.50342,-84.33871,,,,,,VR2W,69,109438,,,,,,,,,,Y,SMRSL,N
99,SSM,,006,1,,,,,2010-04-16T06:56:00,2010-04-16 10:56,EASTERN,46.50551,-84.33995,,,,,,VR2W,69,109123,,,,,,,,,,Y,SMRSL,Y
100,SSM,,006,2,,,,,2010-06-24T06:35:00,2010-06-24 10:35,EASTERN,46.50550,-84.33991,,,,,,VR2W,69,109123,,,,,,,,,,Y,SMRSL,Y
101,SSM,,008,1,,,,,2010-04-15T11:50:00,2010-04-15 15:50,EASTERN,46.50613,-84.34254,,,,,,VR2W,69,109454,,,,,,,,,,Y,SMRSL,Y
102,SSM,,009,1,,,,,2010-04-15T11:38:00,2010-04-15 15:38,EASTERN,46.50598,-84.34507,,,,,,VR2W,69,109452,,,,,,,,,,Y,SMRSL,Y
103,SSM,,010,1,,,,,2010-04-15T11:27:00,2010-04-15 15:27,EASTERN,46.50715,-84.34361,,,,,,VR2W,69,109124,,,,,,,,,,Y,SMRSL,Y
104,SSM,,010,2,,,,,2010-06-24T06:09:00,2010-06-24 10:09,EASTERN,46.50720,-84.34358,,,,,,VR2W,69,109124,,,,,,,,,,Y,SMRSL,Y
105,SSM,,011,1,,,,,2010-04-15T10:50:00,2010-04-15 14:50,EASTERN,46.50767,-84.34174,,,,,,VR2W,69,109127,,,,,,,,,,Y,SMRSL,Y
106,SSM,,012,1,,,,,2010-04-15T11:15:00,2010-04-15 15:15,EASTERN,46.50819,-84.34516,,,,,,VR2W,69,109451,,,,,,,,,,Y,SMRSL,Y
107,SSM,,013,1,,,,,2010-04-15T11:01:00,2010-04-15 15:01,EASTERN,46.50848,-84.34319,,,,,,VR2W,69,106323,,,,,,,,,,Y,SMRSL,Y
108,SSM,,014,1,,,,,2010-04-15T10:30:00,2010-04-15 14:30,EASTERN,46.50967,-84.33937,,,,,,VR2W,69,109446,,,,,,,,,,Y,SMRSL,Y
109,SSM,,015,1,,,,,2010-04-15T08:02:00,2010-04-15 12:02,EASTERN,46.51122,-84.34269,,,,,,VR2W,69,109121,,,,,,,,,,Y,SMRSL,Y
110,SSM,,015,2,,,,,2010-04-15T13:34:00,2010-04-15 17:34,EASTERN,46.51114,-84.34271,,,,,,VR2W,69,109121,,,,,,,,,,Y,SMRSL,Y
111,SSM,,015,3,,,,,2010-06-24T05:14:00,2010-06-24 09:14,EASTERN,46.51119,-84.34281,,,,,,VR2W,69,109121,,,,,,,,,,Y,SMRSL,Y
112,SSM,,016,1,,,,,2010-04-15T12:50:00,2010-04-15 16:50,EASTERN,46.51158,-84.34044,,,,,,VR2W,69,109126,,,,,,,,,,Y,SMRSL,Y
113,SSM,,017,1,,,,,2010-04-16T06:29:00,2010-04-16 10:29,EASTERN,46.51229,-84.34173,,,,,,VR2W,69,109453,,,,,,,,,,Y,SMRSL,Y
114,SSM,,018,1,,,,,2010-04-15T07:12:00,2010-04-15 11:12,EASTERN,46.51290,-84.34418,,,,,,VR2W,69,109125,,,,,,,,,,Y,SMRSL,Y
115,SSM,,018,2,,,,,2010-04-15T13:23:00,2010-04-15 17:23,EASTERN,46.51281,-84.34414,,,,,,VR2W,69,109125,,,,,,,,,,Y,SMRSL,Y
