ID,GLATOS_ARRAY,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,MOORING_DROP_DEAD_DATE,INTEND_LAT,INTEND_LONG,OTN_MISSION_ID,DEPLOY_DATE_TIME,GLATOS_DEPLOY_DATE_TIME,GLATOS_TIMEZONE,DEPLOY_LAT,DEPLOY_LONG,BOTTOM_DEPTH,RISER_LENGTH,INSTRUMENT_DEPTH,CHECWLK_COMPLETE_TIME,STATUS_IN,INS_MODEL_NO,GLATOS_INS_FREQUENCY,INS_SERIAL_NO,RCV_MODEM_ADDRESS,SYNC_DATE_TIME,MEMORY_ERASED_AT_DEPLOY,RCV_BATTERY_INSTALL_DATE,RCV_EXPECTED_BATTERY_LIFE,RCV_VOLTAGE_AT_DEPLOY,RCV_TILT_AFTER_DEPLOY,DEPLOYED_BY,COMMENTS,GLATOS_SEASONAL,GLATOS_PROJECT,GLATOS_VPS
159,LRC,,007,1,,,,,2011-04-25T11:13:00,2011-04-25 15:13,EASTERN,46.26415,-84.19048,,,,,,VR2W,69,113209,,,,,,,,,,Y,SMRSL,Y
160,LRP,,001,1,,,,,2011-04-27T07:39:00,2011-04-27 11:39,EASTERN,46.48011,-84.28779,,,,,,VR2W,69,109886,,,,,,,,,,Y,SMRSL,N
161,MNB,,001,1,,,,,2011-04-25T09:01:00,2011-04-25 13:01,EASTERN,46.32633,-84.15932,,,,,,VR2W,69,113221,,,,,,,,,,Y,SMRSL,Y
162,MNB,,002,1,,,,,2011-04-25T09:47:00,2011-04-25 13:47,EASTERN,46.32631,-84.15779,,,,,,VR2W,69,109936,,,,,,,,,,Y,SMRSL,N
163,MNB,,003,1,,,,,2011-04-25T09:37:00,2011-04-25 13:37,EASTERN,46.32496,-84.15978,,,,,,VR2W,69,113213,,,,,,,,,,Y,SMRSL,Y
164,MNB,,004,1,,,,,2011-04-25T09:29:00,2011-04-25 13:29,EASTERN,46.32431,-84.15747,,,,,,VR2W,69,113223,,,,,,,,,,Y,SMRSL,Y
165,MNB,,005,1,,,,,2011-04-25T09:16:00,2011-04-25 13:16,EASTERN,46.32590,-84.15764,,,,,,VR2W,69,113230,,,,,,,,,,Y,SMRSL,Y
166,OVP,,001,1,,,,,2011-04-27T05:47:00,2011-04-27 09:47,EASTERN,46.49767,-84.38945,,,,,,VR2W,69,109930,,,,,,,,,,Y,SMRSL,N
167,OVP,,002,1,,,,,2011-04-27T05:56:00,2011-04-27 09:56,EASTERN,46.50206,-84.39233,,,,,,VR2W,69,109995,,,,,,,,,,Y,SMRSL,N
168,OVP,,003,1,,,,,2011-04-27T06:05:00,2011-04-27 10:05,EASTERN,46.50367,-84.39418,,,,,,VR2W,69,109971,,,,,,,,,,Y,SMRSL,N
169,PCH,,001,1,,,,,2011-04-26T07:26:00,2011-04-26 11:26,EASTERN,46.52569,-84.17260,,,,,,VR2W,69,109889,,,,,,,,,,Y,SMRSL,N
170,PCH,,002,1,,,,,2011-04-26T07:36:00,2011-04-26 11:36,EASTERN,46.52794,-84.17244,,,,,,VR2W,69,109927,,,,,,,,,,Y,SMRSL,N
171,PWC,,001,1,,,,,2011-05-25T07:23:00,2011-05-25 11:23,EASTERN,46.50539,-84.35131,,,,,,VR2W,69,109876,,,,,,,,,,Y,SMRSL,N
172,PWC,,002,1,,,,,2011-05-25T07:39:00,2011-05-25 11:39,EASTERN,46.50508,-84.35300,,,,,,VR2W,69,109951,,,,,,,,,,Y,SMRSL,N
173,RNS,,003,1,,,,,2011-04-25T12:41:00,2011-04-25 16:41,EASTERN,46.25246,-84.09886,,,,,,VR2W,69,113227,,,,,,,,,,Y,SMRSL,N
174,RNS,,006,1,,,,,2011-04-25T12:50:00,2011-04-25 16:50,EASTERN,46.25360,-84.10229,,,,,,VR2W,69,113228,,,,,,,,,,Y,SMRSL,N
175,RTR,,001,1,,,,,2011-05-18T12:16:00,2011-05-18 16:16,EASTERN,46.54233,-84.21272,,,,,,VR2W,69,110005,,,,,,,,,,Y,SMRSL,N
176,RTR,,002,1,,,,,2011-05-18T12:05:00,2011-05-18 16:05,EASTERN,46.54275,-84.21596,,,,,,VR2W,69,109896,,,,,,,,,,Y,SMRSL,N
177,RVR,,001,1,,,,,2011-04-27T07:59:00,2011-04-27 11:59,EASTERN,46.46682,-84.29265,,,,,,VR2W,69,113226,,,,,,,,,,Y,SMRSL,N
178,RVR,,002,1,,,,,2011-04-27T08:15:00,2011-04-27 12:15,EASTERN,46.47621,-84.30229,,,,,,VR2W,69,110011,,,,,,,,,,Y,SMRSL,N
179,SQR,,001,1,,,,,2011-04-25T15:04:00,2011-04-25 19:04,EASTERN,46.51452,-84.11585,,,,,,VR2W,69,113215,,,,,,,,,,Y,SMRSL,Y
180,SQR,,002,1,,,,,2011-04-25T15:12:00,2011-04-25 19:12,EASTERN,46.51363,-84.11764,,,,,,VR2W,69,113211,,,,,,,,,,Y,SMRSL,Y
181,SQR,,003,1,,,,,2011-04-25T14:49:00,2011-04-25 18:49,EASTERN,46.51273,-84.11591,,,,,,VR2W,69,113216,,,,,,,,,,Y,SMRSL,Y
182,SQR,,004,1,,,,,2011-04-25T14:54:00,2011-04-25 18:54,EASTERN,46.51394,-84.11397,,,,,,VR2W,69,113224,,,,,,,,,,Y,SMRSL,Y
183,SSM,,001,1,,,,,2011-05-02T09:52:00,2011-05-02 13:52,EASTERN,46.51020,-84.34106,,,,,,VR2W,69,109983,,,,,,,,,,Y,SMRSL,Y
184,SSM,,002,1,,,,,2011-05-02T10:21:00,2011-05-02 14:21,EASTERN,46.50893,-84.34159,,,,,,VR2W,69,109892,,,,,,,,,,Y,SMRSL,Y
185,SSM,,003,1,,,,,2011-05-11T05:28:00,2011-05-11 09:28,EASTERN,46.50692,-84.34166,,,,,,VR2W,69,109984,,,,,,,,,,Y,SMRSL,Y
186,SSM,,004,1,,,,,2011-05-02T08:08:00,2011-05-02 12:08,EASTERN,46.50050,-84.33755,,,,,,VR2W,69,109877,,,,,,,,,,Y,SMRSL,N
187,SSM,,006,1,,,,,2011-05-11T05:05:00,2011-05-11 09:05,EASTERN,46.50553,-84.33995,,,,,,VR2W,69,109880,,,,,,,,,,Y,SMRSL,Y
188,SSM,,008,1,,,,,2011-05-11T05:49:00,2011-05-11 09:49,EASTERN,46.50619,-84.34209,,,,,,VR2W,69,109878,,,,,,,,,,Y,SMRSL,Y
189,SSM,,009,1,,,,,2011-05-11T08:30:00,2011-05-11 12:30,EASTERN,46.50588,-84.34470,,,,,,VR2W,69,109957,,,,,,,,,,Y,SMRSL,Y
190,SSM,,010,1,,,,,2011-05-11T08:44:00,2011-05-11 12:44,EASTERN,46.50695,-84.34377,,,,,,VR2W,69,110007,,,,,,,,,,Y,SMRSL,Y
191,SSM,,011,1,,,,,2011-05-02T10:48:00,2011-05-02 14:48,EASTERN,46.50780,-84.34189,,,,,,VR2W,69,109420,,,,,,,,,,Y,SMRSL,Y
192,SSM,,012,1,,,,,2011-05-02T10:38:00,2011-05-02 14:38,EASTERN,46.50816,-84.34528,,,,,,VR2W,69,109514,,,,,,,,,,Y,SMRSL,Y
193,SSM,,013,1,,,,,2011-05-02T10:28:00,2011-05-02 14:28,EASTERN,46.50851,-84.34320,,,,,,VR2W,69,109911,,,,,,,,,,Y,SMRSL,Y
194,SSM,,014,1,,,,,2011-05-02T10:00:00,2011-05-02 14:00,EASTERN,46.50965,-84.33930,,,,,,VR2W,69,109945,,,,,,,,,,Y,SMRSL,Y
195,SSM,,015,1,,,,,2011-05-02T09:37:00,2011-05-02 13:37,EASTERN,46.51115,-84.34283,,,,,,VR2W,69,109990,,,,,,,,,,Y,SMRSL,Y
196,SSM,,016,1,,,,,2011-05-02T09:43:00,2011-05-02 13:43,EASTERN,46.51163,-84.34046,,,,,,VR2W,69,109921,,,,,,,,,,Y,SMRSL,Y
197,SSM,,018,1,,,,,2011-05-02T08:33:00,2011-05-02 12:33,EASTERN,46.51285,-84.34410,,,,,,VR2W,69,106326,,,,,,,,,,Y,SMRSL,Y
198,SSM,,019,1,,,,,2011-05-02T09:19:00,2011-05-02 13:19,EASTERN,46.51307,-84.34193,,,,,,VR2W,69,109883,,,,,,,,,,Y,SMRSL,Y
199,SSM,,020,1,,,,,2011-05-02T10:13:00,2011-05-02 14:13,EASTERN,46.50954,-84.34276,,,,,,VR2W,69,109942,,,,,,,,,,Y,SMRSL,Y
200,SSM,,021,1,,,,,2011-05-02T10:57:00,2011-05-02 14:57,EASTERN,46.50730,-84.33948,,,,,,VR2W,69,109901,,,,,,,,,,Y,SMRSL,Y
201,STR,,001,1,,,,,2011-04-25T13:21:00,2011-04-25 17:21,EASTERN,46.31733,-84.11905,,,,,,VR2W,69,113217,,,,,,,,,,Y,SMRSL,N
202,STR,,002,1,,,,,2011-04-25T13:29:00,2011-04-25 17:29,EASTERN,46.31875,-84.11188,,,,,,VR2W,69,109875,,,,,,,,,,Y,SMRSL,N
203,URC,,004,1,,,,,2011-04-25T10:38:00,2011-04-25 14:38,EASTERN,46.28640,-84.21157,,,,,,VR2W,69,113210,,,,,,,,,,Y,SMRSL,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
