ID,GLATOS_ARRAY,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,OTN_MISSION_ID,AR_CONFIRM,DATA_DOWNLOADED,INS_MODEL_NUMBER,INS_SERIAL_NUMBER,RECOVERED,RECOVER_DATE_TIME,GLATOS_RECOVER_DATE_TIME,GLATOS_TIMEZONE,RECOVER_LAT,RECOVER_LONG,GLATOS_PROJECT,GLATOS_VPS
120,STR,,001,1,,,,,109433,,2010-07-29T07:29:00,2010-07-29 11:29,EASTERN,,,SMRSL,N
121,STR,,002,1,,,,,109431,,2010-07-29T07:11:00,2010-07-29 11:11,EASTERN,,,SMRSL,N
122,URC,,001,1,,,,,109424,,2010-08-04T11:35:00,2010-08-04 15:35,EASTERN,,,SMRSL,Y
123,URC,,002,1,,,,,109434,,2011-11-08T05:56:00,2011-11-08 10:56,EASTERN,,,SMRSL,N
124,URC,,003,1,,,,,109423,,2010-08-03T12:00:00,2010-08-03 16:00,EASTERN,,,SMRSL,Y
125,URC,,004,1,,,,,109432,,2010-08-03T11:42:00,2010-08-03 15:42,EASTERN,,,SMRSL,Y
126,URC,,005,1,,,,,109447,,2010-08-03T10:55:00,2010-08-03 14:55,EASTERN,,,SMRSL,Y
127,BLL,,001,1,,,,,109879,,2011-08-08T08:02:00,2011-08-08 12:02,EASTERN,,,SMRSL,N
128,BRS,,001,1,,,,,109888,,2011-08-08T06:10:00,2011-08-08 10:10,EASTERN,,,SMRSL,N
129,BRS,,002,1,,,,,109890,,2011-08-08T05:05:00,2011-08-08 09:05,EASTERN,,,SMRSL,N
130,CHR,,001,1,,,,,109909,,2011-08-08T11:00:00,2011-08-08 15:00,EASTERN,,,SMRSL,N
131,CKI,,001,1,,,,,110004,,2011-08-03T05:43:00,2011-08-03 09:43,EASTERN,,,SMRSL,Y
132,CKI,,002,1,,,,,109500,,2011-08-03T05:53:00,2011-08-03 09:53,EASTERN,,,SMRSL,Y
133,CKI,,003,1,,,,,109934,,2011-08-03T06:14:00,2011-08-03 10:14,EASTERN,,,SMRSL,Y
134,CKI,,004,1,,,,,109914,,2011-08-03T06:35:00,2011-08-03 10:35,EASTERN,,,SMRSL,Y
